        epoch      ;  log10(epoch)     ;           MSE           ;         delta MSE       
                  1;             0,0000;        25,31623759420193;        25,31623759420193
                  2;             0,3010;        12,90858714675447;       -12,40765044744746
                  3;             0,4771;         0,87492465719324;       -12,03366248956123
                  4;             0,6021;         0,86166985384391;        -0,01325480334933
                  5;             0,6990;         0,85408291076666;        -0,00758694307725
                  6;             0,7782;         0,84682059087224;        -0,00726231989442
                  7;             0,8451;         0,83936930644972;        -0,00745128442252
                  8;             0,9031;         0,83102984688091;        -0,00833945956881
                  9;             0,9542;         0,82036654566578;        -0,01066330121513
                 10;             1,0000;         0,80440314598803;        -0,01596339967775
                 11;             1,0414;         0,77879751272994;        -0,02560563325809
                 12;             1,0792;         0,74355338092347;        -0,03524413180647
                 13;             1,1139;         0,70696176612863;        -0,03659161479484
                 14;             1,1461;         0,67535717265235;        -0,03160459347628
                 15;             1,1761;         0,64924689032085;        -0,02611028233150
                 16;             1,2041;         0,62750468318142;        -0,02174220713943
                 17;             1,2304;         0,60920001576234;        -0,01830466741908
                 18;             1,2553;         0,59367910882821;        -0,01552090693413
                 19;             1,2788;         0,58044082562747;        -0,01323828320074
                 20;             1,3010;         0,56908015885069;        -0,01136066677678
                 21;             1,3222;         0,55926863869131;        -0,00981152015938
                 22;             1,3424;         0,55074248504863;        -0,00852615364268
                 23;             1,3617;         0,54329103195129;        -0,00745145309734
                 24;             1,3802;         0,53674564325425;        -0,00654538869704
                 25;             1,3979;         0,53097018570100;        -0,00577545755325
                 26;             1,4150;         0,52585346990600;        -0,00511671579500
                 27;             1,4314;         0,52130353615055;        -0,00454993375545
                 28;             1,4472;         0,51724344077124;        -0,00406009537931
                 29;             1,4624;         0,51360817144829;        -0,00363526932295
                 30;             1,4771;         0,51034237402540;        -0,00326579742289
                 31;             1,4914;         0,50739864824179;        -0,00294372578361
                 32;             1,5051;         0,50473623860060;        -0,00266240964119
                 33;             1,5185;         0,50232000117362;        -0,00241623742698
                 34;             1,5315;         0,50011956694194;        -0,00220043423168
                 35;             1,5441;         0,49810864966044;        -0,00201091728150
                 36;             1,5563;         0,49626446423073;        -0,00184418542971
                 37;             1,5682;         0,49456723294056;        -0,00169723129017
                 38;             1,5798;         0,49299976389675;        -0,00156746904381
                 39;             1,5911;         0,49154709016933;        -0,00145267372742
                 40;             1,6021;         0,49019616069827;        -0,00135092947106
                 41;             1,6128;         0,48893557560774;        -0,00126058509053
                 42;             1,6232;         0,48775535966413;        -0,00118021594361
                 43;             1,6335;         0,48664676844441;        -0,00110859121972
                 44;             1,6435;         0,48560212247769;        -0,00104464596672
                 45;             1,6532;         0,48461466523966;        -0,00098745723803
                 46;             1,6628;         0,48367844143930;        -0,00093622380036
                 47;             1,6721;         0,48278819254345;        -0,00089024889585
                 48;             1,6812;         0,48193926693742;        -0,00084892560603
                 49;             1,6902;         0,48112754251840;        -0,00081172441902
                 50;             1,6990;         0,48034935986312;        -0,00077818265528
                 51;             1,7076;         0,47960146440651;        -0,00074789545661
                 52;             1,7160;         0,47888095631677;        -0,00072050808974
                 53;             1,7243;         0,47818524696156;        -0,00069570935521
                 54;             1,7324;         0,47751202103378;        -0,00067322592778
                 55;             1,7404;         0,47685920355028;        -0,00065281748350
                 56;             1,7482;         0,47622493105718;        -0,00063427249310
                 57;             1,7559;         0,47560752647534;        -0,00061740458184
                 58;             1,7634;         0,47500547710320;        -0,00060204937214
                 59;             1,7709;         0,47441741536408;        -0,00058806173912
                 60;             1,7782;         0,47384210194367;        -0,00057531342041
                 61;             1,7853;         0,47327841101312;        -0,00056369093055
                 62;             1,7924;         0,47272531727509;        -0,00055309373803
                 63;             1,7993;         0,47218188460568;        -0,00054343266941
                 64;             1,8062;         0,47164725609546;        -0,00053462851022
                 65;             1,8129;         0,47112064531823;        -0,00052661077723
                 66;             1,8195;         0,47060132867816;        -0,00051931664007
                 67;             1,8261;         0,47008863870385;        -0,00051268997431
                 68;             1,8325;         0,46958195817326;        -0,00050668053059
                 69;             1,8388;         0,46908071496574;        -0,00050124320752
                 70;             1,8451;         0,46858437754771;        -0,00049633741803
                 71;             1,8513;         0,46809245100637;        -0,00049192654134
                 72;             1,8573;         0,46760447355184;        -0,00048797745453
                 73;             1,8633;         0,46712001341294;        -0,00048446013890
                 74;             1,8692;         0,46663866605468;        -0,00048134735826
                 75;             1,8751;         0,46616005164793;        -0,00047861440675
                 76;             1,8808;         0,46568381272321;        -0,00047623892472
                 77;             1,8865;         0,46520961194183;        -0,00047420078138
                 78;             1,8921;         0,46473712991908;        -0,00047248202275
                 79;             1,8976;         0,46426606303614;        -0,00047106688294
                 80;             1,9031;         0,46379612118078;        -0,00046994185536
                 81;             1,9085;         0,46332702536098;        -0,00046909581980
                 82;             1,9138;         0,46285850514261;        -0,00046852021837
                 83;             1,9191;         0,46239029587007;        -0,00046820927254
                 84;             1,9243;         0,46192213563941;        -0,00046816023066
                 85;             1,9294;         0,46145376200542;        -0,00046837363399
                 86;             1,9345;         0,46098490841761;        -0,00046885358781
                 87;             1,9395;         0,46051530039395;        -0,00046960802366
                 88;             1,9445;         0,46004465145524;        -0,00047064893871
                 89;             1,9494;         0,45957265885542;        -0,00047199259982
                 90;             1,9542;         0,45909899915361;        -0,00047365970181
                 91;             1,9590;         0,45862332368131;        -0,00047567547230
                 92;             1,9638;         0,45814525396147;        -0,00047806971984
                 93;             1,9685;         0,45766437713626;        -0,00048087682521
                 94;             1,9731;         0,45718024145628;        -0,00048413567998
                 95;             1,9777;         0,45669235187663;        -0,00048788957965
                 96;             1,9823;         0,45620016579628;        -0,00049218608035
                 97;             1,9868;         0,45570308896650;        -0,00049707682978
                 98;             1,9912;         0,45520047158538;        -0,00050261738112
                 99;             1,9956;         0,45469160458733;        -0,00050886699805
                100;             2,0000;         0,45417571613330;        -0,00051588845403
                101;             2,0043;         0,45365196830800;        -0,00052374782530
                102;             2,0086;         0,45311945403654;        -0,00053251427146
                103;             2,0128;         0,45257719424525;        -0,00054225979129
                104;             2,0170;         0,45202413530865;        -0,00055305893660
                105;             2,0212;         0,45145914684847;        -0,00056498846018
                106;             2,0253;         0,45088101997840;        -0,00057812687007
                107;             2,0294;         0,45028846612102;        -0,00059255385738
                108;             2,0334;         0,44968011655860;        -0,00060834956242
                109;             2,0374;         0,44905452291719;        -0,00062559364141
                110;             2,0414;         0,44841015882013;        -0,00064436409706
                111;             2,0453;         0,44774542298273;        -0,00066473583740
                112;             2,0492;         0,44705864404911;        -0,00068677893362
                113;             2,0531;         0,44634808749358;        -0,00071055655553
                114;             2,0569;         0,44561196491566;        -0,00073612257792
                115;             2,0607;         0,44484844604651;        -0,00076351886915
                116;             2,0645;         0,44405567374785;        -0,00079277229866
                117;             2,0682;         0,44323178221634;        -0,00082389153151
                118;             2,0719;         0,44237491850271;        -0,00085686371363
                119;             2,0755;         0,44148326731006;        -0,00089165119265
                120;             2,0792;         0,44055507885167;        -0,00092818845839
                121;             2,0828;         0,43958869932709;        -0,00096637952458
                122;             2,0864;         0,43858260332947;        -0,00100609599762
                123;             2,0899;         0,43753542724190;        -0,00104717608757
                124;             2,0934;         0,43644600244269;        -0,00108942479921
                125;             2,0969;         0,43531338694739;        -0,00113261549530
                126;             2,1004;         0,43413689400285;        -0,00117649294454
                127;             2,1038;         0,43291611614462;        -0,00122077785823
                128;             2,1072;         0,43165094335630;        -0,00126517278832
                129;             2,1106;         0,43034157423568;        -0,00130936912062
                130;             2,1139;         0,42898851946585;        -0,00135305476983
                131;             2,1173;         0,42759259737968;        -0,00139592208617
                132;             2,1206;         0,42615492194205;        -0,00143767543763
                133;             2,1239;         0,42467688399514;        -0,00147803794691
                134;             2,1271;         0,42316012705391;        -0,00151675694123
                135;             2,1303;         0,42160651924647;        -0,00155360780744
                136;             2,1335;         0,42001812313187;        -0,00158839611460
                137;             2,1367;         0,41839716508557;        -0,00162095804630
                138;             2,1399;         0,41674600573612;        -0,00165115934945
                139;             2,1430;         0,41506711260543;        -0,00167889313069
                140;             2,1461;         0,41336303570301;        -0,00170407690242
                141;             2,1492;         0,41163638640992;        -0,00172664929309
                142;             2,1523;         0,40988981961366;        -0,00174656679626
                143;             2,1553;         0,40812601875999;        -0,00176380085367
                144;             2,1584;         0,40634768329274;        -0,00177833546725
                145;             2,1614;         0,40455751786090;        -0,00179016543184
                146;             2,1644;         0,40275822267146;        -0,00179929518944
                147;             2,1673;         0,40095248443297;        -0,00180573823849
                148;             2,1703;         0,39914296744154;        -0,00180951699143
                149;             2,1732;         0,39733230448100;        -0,00181066296054
                150;             2,1761;         0,39552308732194;        -0,00180921715906
                151;             2,1790;         0,39371785669799;        -0,00180523062395
                152;             2,1818;         0,39191909170825;        -0,00179876498974
                153;             2,1847;         0,39012919864796;        -0,00178989306029
                154;             2,1875;         0,38835049931463;        -0,00177869933333
                155;             2,1903;         0,38658521888431;        -0,00176528043032
                156;             2,1931;         0,38483547351197;        -0,00174974537234
                157;             2,1959;         0,38310325788085;        -0,00173221563112
                158;             2,1987;         0,38139043300393;        -0,00171282487692
                159;             2,2014;         0,37969871465305;        -0,00169171835088
                160;             2,2041;         0,37802966284124;        -0,00166905181181
                161;             2,2068;         0,37638467279726;        -0,00164499004398
                162;             2,2095;         0,37476496783698;        -0,00161970496028
                163;             2,2122;         0,37317159445488;        -0,00159337338210
                164;             2,2148;         0,37160541983773;        -0,00156617461715
                165;             2,2175;         0,37006713185867;        -0,00153828797906
                166;             2,2201;         0,36855724146372;        -0,00150989039495
                167;             2,2227;         0,36707608723273;        -0,00148115423099
                168;             2,2253;         0,36562384179899;        -0,00145224543374
                169;             2,2279;         0,36420051975281;        -0,00142332204618
                170;             2,2304;         0,36280598663553;        -0,00139453311728
                171;             2,2330;         0,36143996864652;        -0,00136601798901
                172;             2,2355;         0,36010206272722;        -0,00133790591930
                173;             2,2380;         0,35879174674367;        -0,00131031598355
                174;             2,2405;         0,35750838955286;        -0,00128335719081
                175;             2,2430;         0,35625126080035;        -0,00125712875251
                176;             2,2455;         0,35501954035322;        -0,00123172044713
                177;             2,2480;         0,35381232731864;        -0,00120721303458
                178;             2,2504;         0,35262864863542;        -0,00118367868322
                179;             2,2529;         0,35146746725166;        -0,00116118138376
                180;             2,2553;         0,35032768991917;        -0,00113977733249
                181;             2,2577;         0,34920817464434;        -0,00111951527483
                182;             2,2601;         0,34810773783871;        -0,00110043680563
                183;             2,2625;         0,34702516121090;        -0,00108257662781
                184;             2,2648;         0,34595919843711;        -0,00106596277379
                185;             2,2672;         0,34490858164119;        -0,00105061679592
                186;             2,2695;         0,34387202770756;        -0,00103655393363
                187;             2,2718;         0,34284824444340;        -0,00102378326416
                188;             2,2742;         0,34183593659972;        -0,00101230784368
                189;             2,2765;         0,34083381175484;        -0,00100212484488
                190;             2,2788;         0,33984058605987;        -0,00099322569497
                191;             2,2810;         0,33885498984195;        -0,00098559621792
                192;             2,2833;         0,33787577305933;        -0,00097921678262
                193;             2,2856;         0,33690171060104;        -0,00097406245829
                194;             2,2878;         0,33593160742392;        -0,00097010317712
                195;             2,2900;         0,33496430351968;        -0,00096730390424
                196;             2,2923;         0,33399867870535;        -0,00096562481433
                197;             2,2945;         0,33303365723091;        -0,00096502147444
                198;             2,2967;         0,33206821219775;        -0,00096544503316
                199;             2,2989;         0,33110136978164;        -0,00096684241611
                200;             2,3010;         0,33013221325246;        -0,00096915652918
                201;             2,3032;         0,32915988678153;        -0,00097232647093
                202;             2,3054;         0,32818359902467;        -0,00097628775686
                203;             2,3075;         0,32720262646619;        -0,00098097255848
                204;             2,3096;         0,32621631650511;        -0,00098630996108
                205;             2,3118;         0,32522409026100;        -0,00099222624411
                206;             2,3139;         0,32422544507254;        -0,00099864518846
                207;             2,3160;         0,32321995665820;        -0,00100548841434
                208;             2,3181;         0,32220728090477;        -0,00101267575343
                209;             2,3201;         0,32118715524736;        -0,00102012565741
                210;             2,3222;         0,32015939960312;        -0,00102775564424
                211;             2,3243;         0,31912391682127;        -0,00103548278185
                212;             2,3263;         0,31808069261460;        -0,00104322420667
                213;             2,3284;         0,31702979494122;        -0,00105089767338
                214;             2,3304;         0,31597137281186;        -0,00105842212936
                215;             2,3324;         0,31490565450568;        -0,00106571830618
                216;             2,3345;         0,31383294518704;        -0,00107270931864
                217;             2,3365;         0,31275362392650;        -0,00107932126054
                218;             2,3385;         0,31166814014054;        -0,00108548378596
                219;             2,3404;         0,31057700947633;        -0,00109113066421
                220;             2,3424;         0,30948080917921;        -0,00109620029712
                221;             2,3444;         0,30838017299102;        -0,00110063618819
                222;             2,3464;         0,30727578563681;        -0,00110438735421
