     0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay
   6.delay ;              -0,0479 ;              -0,0638 ;                  NaN ;              -0,0010 ;               0,0411 ;               0,6105 ;              -0,0157 ;               0,0166 ;                  NaN ;              -0,0070 ;              -0,0216 ;               0,6748 ;              -0,0005 ;               0,0201 ;               0,0000 ;              -0,0436 ;               0,0434 ;               0,7351 ;               0,0182 ;              -0,0037 ;              -0,0000 ;               0,0161 ;               0,0251 ;               0,8494 ;              -0,0079 ;               0,0084 ;                  NaN ;              -0,0070 ;               0,0036 ;               0,6966 ;               0,0413 ;               0,1401 ;                  NaN ;              -0,0260 ;               0,0918 ;               1,0000 ;               0,0918 ;               0,0008 ;                  NaN ;               0,0696 ;               0,0431 ;               0,7765 ;               0,0918 ;              -0,0051 ;              -0,0000 ;               0,0671 ;              -0,1470 ;               0,5575 
   7.input ;               0,1146 ;               0,0448 ;                  NaN ;               0,1011 ;               0,1216 ;               0,0670 ;              -0,1991 ;               0,1931 ;                  NaN ;              -0,2203 ;               0,2771 ;               0,1018 ;               0,3030 ;              -0,1053 ;               0,0000 ;               0,2788 ;               0,3654 ;              -0,0198 ;              -0,1811 ;               0,0452 ;              -0,0000 ;              -0,2254 ;              -0,0103 ;               0,1101 ;               0,3233 ;              -0,2922 ;                  NaN ;               0,3150 ;              -0,1467 ;              -0,0067 ;               0,1215 ;               0,5492 ;                  NaN ;              -0,1434 ;               1,0000 ;               0,0918 ;               1,0000 ;               0,0297 ;                  NaN ;               0,8711 ;              -0,1558 ;               0,0517 ;               1,0000 ;               0,0164 ;              -0,0000 ;               0,8506 ;              -0,0542 ;               0,0170 
   7.speed ;               0,0056 ;              -0,0006 ;                  NaN ;               0,0031 ;               0,0041 ;               0,0018 ;               0,0036 ;               0,0005 ;                  NaN ;               0,0036 ;              -0,0083 ;               0,0021 ;              -0,0055 ;              -0,0041 ;               0,0000 ;              -0,1149 ;               0,1238 ;              -0,0024 ;               0,0073 ;               0,0032 ;              -0,0000 ;               0,0055 ;               0,0027 ;              -0,0069 ;               0,0036 ;              -0,0030 ;                  NaN ;               0,0030 ;               0,0019 ;              -0,0051 ;               0,0819 ;               0,0037 ;                  NaN ;               0,0257 ;               0,0297 ;               0,0008 ;               0,0297 ;               1,0000 ;                  NaN ;              -0,3109 ;               0,2350 ;              -0,1203 ;               0,0297 ;              -0,0025 ;              -0,0000 ;               0,0513 ;              -0,0531 ;              -0,0024 
    7.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 7.density ;               0,2040 ;               0,0536 ;                  NaN ;               0,1405 ;               0,2111 ;               0,0519 ;              -0,1519 ;               0,2003 ;                  NaN ;              -0,2071 ;               0,1570 ;               0,1223 ;               0,2366 ;              -0,1518 ;               0,0000 ;               0,3087 ;               0,1116 ;              -0,0505 ;              -0,1256 ;               0,1449 ;              -0,0000 ;              -0,2060 ;               0,0645 ;               0,1149 ;               0,2718 ;              -0,2435 ;                  NaN ;               0,2848 ;              -0,1282 ;              -0,0117 ;               0,0050 ;               0,4620 ;                  NaN ;              -0,1603 ;               0,8711 ;               0,0696 ;               0,8711 ;              -0,3109 ;                  NaN ;               1,0000 ;              -0,2165 ;               0,0710 ;               0,8711 ;               0,0780 ;              -0,0000 ;               0,6357 ;               0,0088 ;               0,0467 
  7.output ;              -0,1141 ;               0,0537 ;                  NaN ;              -0,0803 ;              -0,1220 ;              -0,0008 ;              -0,0939 ;               0,0013 ;                  NaN ;              -0,0433 ;              -0,0389 ;              -0,0864 ;              -0,0905 ;               0,0907 ;              -0,0000 ;              -0,1864 ;               0,1671 ;              -0,0943 ;               0,1474 ;               0,0337 ;               0,0000 ;               0,1721 ;               0,0071 ;              -0,0578 ;               0,2479 ;              -0,2167 ;                  NaN ;               0,2582 ;              -0,0845 ;              -0,0634 ;               0,0479 ;              -0,2498 ;                  NaN ;               0,1416 ;              -0,1558 ;               0,0431 ;              -0,1558 ;               0,2350 ;                  NaN ;              -0,2165 ;               1,0000 ;              -0,0312 ;              -0,1558 ;               0,0938 ;               0,0000 ;              -0,1191 ;               0,0166 ;               0,0205 
   7.delay ;              -0,0712 ;              -0,0174 ;                  NaN ;              -0,0506 ;               0,0586 ;               0,7642 ;               0,0198 ;              -0,0121 ;                  NaN ;               0,0186 ;               0,0095 ;               0,5933 ;               0,0353 ;               0,0122 ;               0,0000 ;               0,0462 ;               0,0537 ;               0,7495 ;               0,0197 ;               0,0123 ;              -0,0000 ;               0,0166 ;               0,0447 ;               0,8079 ;              -0,0045 ;               0,0031 ;                  NaN ;              -0,0034 ;               0,0030 ;               0,8793 ;               0,0559 ;              -0,0127 ;                  NaN ;               0,0620 ;               0,0517 ;               0,7765 ;               0,0517 ;              -0,1203 ;                  NaN ;               0,0710 ;              -0,0312 ;               1,0000 ;               0,0517 ;               0,0055 ;              -0,0000 ;               0,0385 ;               0,0387 ;               0,4971 
   8.input ;               0,1146 ;               0,0448 ;                  NaN ;               0,1011 ;               0,1216 ;               0,0670 ;              -0,1991 ;               0,1931 ;                  NaN ;              -0,2203 ;               0,2771 ;               0,1018 ;               0,3030 ;              -0,1053 ;              -0,0000 ;               0,2788 ;               0,3654 ;              -0,0198 ;              -0,1811 ;               0,0451 ;               0,0000 ;              -0,2254 ;              -0,0103 ;               0,1101 ;               0,3233 ;              -0,2922 ;                  NaN ;               0,3150 ;              -0,1467 ;              -0,0067 ;               0,1215 ;               0,5492 ;                  NaN ;              -0,1434 ;               1,0000 ;               0,0918 ;               1,0000 ;               0,0297 ;                  NaN ;               0,8711 ;              -0,1558 ;               0,0517 ;               1,0000 ;               0,0164 ;               0,0000 ;               0,8506 ;              -0,0542 ;               0,0170 
   8.speed ;              -0,0061 ;               0,0009 ;                  NaN ;              -0,0046 ;              -0,0064 ;               0,0038 ;              -0,0004 ;              -0,0008 ;                  NaN ;               0,0054 ;              -0,1039 ;              -0,0144 ;              -0,0957 ;               0,0040 ;              -0,0000 ;              -0,0808 ;              -0,1207 ;              -0,0061 ;              -0,0019 ;              -0,0007 ;               0,0000 ;               0,2562 ;              -0,3038 ;              -0,0743 ;              -0,0029 ;               0,0027 ;                  NaN ;              -0,0037 ;               0,0005 ;               0,0063 ;              -0,2081 ;              -0,0009 ;                  NaN ;              -0,0985 ;               0,0164 ;              -0,0051 ;               0,0164 ;              -0,0025 ;                  NaN ;               0,0780 ;               0,0938 ;               0,0055 ;               0,0164 ;               1,0000 ;               0,0000 ;              -0,3405 ;               0,4366 ;               0,3588 
    8.ksiD ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;              -0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;              -1,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;               1,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               1,0000 ;               0,0000 ;              -0,0000 ;               0,0000 
 8.density ;               0,0788 ;               0,0356 ;                  NaN ;               0,1148 ;               0,0833 ;               0,0552 ;              -0,2623 ;               0,1779 ;                  NaN ;              -0,2469 ;               0,4339 ;               0,0324 ;               0,4254 ;               0,0097 ;              -0,0000 ;               0,3252 ;               0,5703 ;               0,0173 ;              -0,2042 ;              -0,0350 ;               0,0000 ;              -0,2975 ;               0,0199 ;               0,1005 ;               0,2404 ;              -0,2127 ;                  NaN ;               0,2252 ;              -0,1211 ;              -0,0069 ;               0,2846 ;               0,4583 ;                  NaN ;              -0,0083 ;               0,8506 ;               0,0671 ;               0,8506 ;               0,0513 ;                  NaN ;               0,6357 ;              -0,1191 ;               0,0385 ;               0,8506 ;              -0,3405 ;               0,0000 ;               1,0000 ;              -0,1587 ;              -0,0942 
  8.output ;               0,0987 ;              -0,0877 ;                  NaN ;               0,1001 ;               0,0997 ;               0,0324 ;               0,1295 ;              -0,1876 ;                  NaN ;               0,1242 ;               0,1191 ;              -0,1444 ;               0,1519 ;               0,2068 ;               0,0000 ;              -0,0159 ;               0,0009 ;              -0,0834 ;              -0,1254 ;              -0,0702 ;              -0,0000 ;               0,0154 ;              -0,1634 ;              -0,0114 ;               0,1859 ;              -0,2018 ;                  NaN ;               0,1921 ;              -0,1515 ;               0,0129 ;              -0,1815 ;              -0,2382 ;                  NaN ;               0,0038 ;              -0,0542 ;              -0,1470 ;              -0,0542 ;              -0,0531 ;                  NaN ;               0,0088 ;               0,0166 ;               0,0387 ;              -0,0542 ;               0,4366 ;              -0,0000 ;              -0,1587 ;               1,0000 ;               0,0769 
   8.delay ;               0,0031 ;              -0,0695 ;                  NaN ;               0,0288 ;               0,0338 ;               0,3883 ;               0,0100 ;               0,0188 ;                  NaN ;               0,0094 ;               0,0531 ;               0,4096 ;               0,0629 ;               0,0245 ;              -0,0000 ;               0,0650 ;              -0,0009 ;               0,4397 ;               0,0017 ;              -0,0079 ;               0,0000 ;               0,0999 ;              -0,1347 ;               0,5065 ;              -0,0064 ;               0,0079 ;                  NaN ;              -0,0050 ;               0,0012 ;               0,4478 ;              -0,0579 ;              -0,0109 ;                  NaN ;               0,0103 ;               0,0170 ;               0,5575 ;               0,0170 ;              -0,0024 ;                  NaN ;               0,0467 ;               0,0205 ;               0,4971 ;               0,0170 ;               0,3588 ;               0,0000 ;              -0,0942 ;               0,0769 ;               1,0000 
