                 0.NN ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
              average ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;               0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;               1,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;              -1,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -1,0000 ;              -0,0000 ;               0,0000 ;              -0,0000 
         st-deviation ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               0,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               0,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               0,0000 ;               1,0000 ;               1,0000 ;               1,0000 
                  max ;               1,4173 ;               1,4145 ;                  NaN ;               1,7328 ;               1,4505 ;               0,1472 ;               1,4144 ;               1,4167 ;                  NaN ;               1,8382 ;               2,8006 ;               0,8953 ;               2,7136 ;               1,4183 ;               1,0000 ;               3,8503 ;               5,7343 ;               0,9269 ;               1,4051 ;               1,4134 ;              -1,0000 ;               1,4668 ;               1,7511 ;               0,4995 ;               1,4220 ;               1,4090 ;                  NaN ;               1,8672 ;               2,7994 ;               0,3401 ;               3,2597 ;               1,4153 ;                  NaN ;               3,9854 ;               5,4358 ;               0,5427 ;               5,4358 ;               1,4099 ;                  NaN ;               5,7912 ;               6,7528 ;               0,3689 ;               5,4358 ;               1,4216 ;              -1,0000 ;               8,0928 ;               5,6833 ;               0,7576 
                  min ;              -1,4168 ;              -1,4093 ;                  NaN ;              -1,2055 ;              -1,4068 ;              -6,9602 ;              -1,4157 ;              -1,4093 ;                  NaN ;              -1,0947 ;              -0,8948 ;              -7,5257 ;              -1,4046 ;              -1,4133 ;               1,0000 ;              -1,1473 ;              -0,9179 ;              -7,9423 ;              -1,4102 ;              -1,4185 ;              -1,0000 ;              -1,4631 ;              -1,0843 ;              -9,7091 ;              -1,4110 ;              -1,4197 ;                  NaN ;              -1,0756 ;              -0,7220 ;              -8,0023 ;              -1,3810 ;              -1,4125 ;                  NaN ;              -1,2756 ;              -1,0361 ;              -9,9821 ;              -1,0361 ;              -1,4150 ;                  NaN ;              -0,8376 ;              -0,7906 ;              -8,8830 ;              -1,0361 ;              -1,4011 ;              -1,0000 ;              -0,8454 ;              -0,8298 ;             -11,8999 
