   0.NN   ; 1.input ; 1.speed ; 1.ksiD ; 1.density ; 1.output ; 1.delay ; 2.input ; 2.speed ; 2.ksiD ; 2.density ; 2.output ; 2.delay ; 3.input ; 3.speed ; 3.ksiD ; 3.density ; 3.output ; 3.delay ; 4.input ; 4.speed ; 4.ksiD ; 4.density ; 4.output ; 4.delay ; 5.input ; 5.speed ; 5.ksiD ; 5.density ; 5.output ; 5.delay ; 6.input ; 6.speed ; 6.ksiD ; 6.density ; 6.output ; 6.delay ; 7.input ; 7.speed ; 7.ksiD ; 7.density ; 7.output ; 7.delay ; 8.input ; 8.speed ; 8.ksiD ; 8.density ; 8.output ; 8.delay 
  52.7900 ;  0.3320 ;  0.4055 ; 1.0000 ;    0.8187 ;   0.3373 ;  1.9980 ;  0.1565 ;  0.8436 ; 0.5000 ;    0.1855 ;   0.0179 ;  0.8610 ;  0.3552 ;  0.4058 ; 0.7000 ;    0.8751 ;   0.0052 ;  0.9260 ;  0.4322 ;  1.3124 ; 0.8000 ;    0.3293 ;   0.6223 ;  0.9400 ;  0.6030 ;  0.5332 ; 1.5000 ;    1.1309 ;   0.0258 ;  1.4840 ;  0.6533 ;  1.5350 ; 1.0000 ;    0.4256 ;   2.6067 ;  0.8660 ;  1.0427 ;  0.9898 ; 1.5000 ;    1.0534 ;   0.0980 ;  1.2380 ;  1.5640 ;  1.4038 ; 0.6000 ;    1.1141 ;   0.7333 ;  0.4000 
  52.9300 ;  0.3074 ;  0.3160 ; 1.0000 ;    0.9728 ;   0.3096 ;  1.9980 ;  0.0198 ;  0.9364 ; 0.5000 ;    0.0212 ;   0.0307 ;  0.8570 ;  0.3403 ;  0.5202 ; 0.7000 ;    0.6542 ;   0.0253 ;  1.0120 ;  0.5164 ;  0.8020 ; 0.8000 ;    0.6439 ;   0.1155 ;  0.8600 ;  0.0163 ;  1.4193 ; 1.5000 ;    0.0115 ;   0.0967 ;  1.5310 ;  0.2374 ;  0.5802 ; 1.0000 ;    0.4092 ;   0.1679 ;  0.8790 ;  0.0672 ;  1.5453 ; 1.5000 ;    0.0435 ;   0.4104 ;  1.1830 ;  0.1008 ;  1.6011 ; 0.6000 ;    0.0629 ;   0.3230 ;  0.4520 
  52.9700 ;  0.2951 ;  0.2962 ; 1.0000 ;    0.9962 ;   0.2961 ;  1.9980 ;  0.0037 ;  0.9201 ; 0.5000 ;    0.0040 ;   0.0868 ;  0.8480 ;  0.3830 ;  0.6454 ; 0.7000 ;    0.5934 ;   0.0589 ;  1.0280 ;  0.3990 ;  0.6032 ; 0.8000 ;    0.6615 ;   0.0005 ;  0.8480 ;  0.0163 ;  1.4993 ; 1.5000 ;    0.0109 ;   0.4425 ;  1.5260 ;  0.5019 ;  0.8236 ; 1.0000 ;    0.6094 ;   0.2272 ;  0.9020 ;  0.0909 ;  1.0138 ; 1.5000 ;    0.0897 ;   0.3459 ;  1.1940 ;  0.1363 ;  2.0443 ; 0.6000 ;    0.0667 ;   0.3375 ;  0.4550 
  52.9900 ;  0.2882 ;  0.2875 ; 1.0000 ;    1.0022 ;   0.2886 ;  1.9980 ;  0.0004 ;  0.9049 ; 0.5000 ;    0.0005 ;   0.1182 ;  0.8420 ;  0.4067 ;  0.7147 ; 0.7000 ;    0.5691 ;   0.0791 ;  1.0330 ;  0.3282 ;  0.5265 ; 0.8000 ;    0.6234 ;   0.0037 ;  0.8520 ;  0.0637 ;  1.4668 ; 1.5000 ;    0.0434 ;   0.7934 ;  1.5190 ;  0.8762 ;  1.0196 ; 1.0000 ;    0.8594 ;   0.2686 ;  0.9110 ;  0.1074 ;  0.7899 ; 1.5000 ;    0.1360 ;   0.1314 ;  1.2030 ;  0.1611 ;  2.0372 ; 0.6000 ;    0.0791 ;   0.3644 ;  0.4490 
  53.0400 ;  0.2688 ;  0.2695 ; 1.0000 ;    0.9973 ;   0.2675 ;  1.9980 ;  0.0065 ;  0.8483 ; 0.5000 ;    0.0077 ;   0.3068 ;  0.8180 ;  0.5743 ;  0.8880 ; 0.7000 ;    0.6467 ;   0.2895 ;  1.0340 ;  0.1512 ;  0.4376 ; 0.8000 ;    0.3454 ;   0.0222 ;  0.8720 ;  0.2812 ;  1.2034 ; 1.5000 ;    0.2337 ;   1.4846 ;  1.4660 ;  1.7964 ;  1.5101 ; 1.0000 ;    1.1896 ;   0.4146 ;  0.9220 ;  0.1658 ;  0.6642 ; 1.5000 ;    0.2497 ;   0.2608 ;  1.2290 ;  0.2488 ;  1.4038 ; 0.6000 ;    0.1772 ;   0.5797 ;  0.4000 
  53.1400 ;  0.2231 ;  0.2509 ; 1.0000 ;    0.8894 ;   0.2186 ;  1.9980 ;  0.0755 ;  0.6771 ; 0.5000 ;    0.1116 ;   0.8569 ;  0.7180 ;  1.0755 ;  1.1132 ; 0.7000 ;    0.9661 ;   1.5426 ;  0.9190 ;  0.0052 ;  0.7311 ; 0.8000 ;    0.0071 ;   0.1349 ;  0.9190 ;  0.6626 ;  0.5432 ; 1.5000 ;    1.2197 ;   0.0633 ;  1.4550 ;  1.7408 ;  1.3960 ; 1.0000 ;    1.2470 ;   2.0090 ;  0.8440 ;  0.8036 ;  1.7706 ; 1.5000 ;    0.4539 ;   0.3049 ;  1.1880 ;  1.2054 ;  0.9480 ; 0.6000 ;    1.2716 ;   0.6835 ;  0.4380 
  53.7800 ;  0.0007 ;  0.5871 ; 1.0000 ;    0.0013 ;   0.0013 ;  1.9990 ;  0.1693 ;  0.8292 ; 0.5000 ;    0.2042 ;   0.0228 ;  0.8600 ;  0.0241 ;  1.0786 ; 0.7000 ;    0.0223 ;   0.9712 ;  0.9690 ;  0.3990 ;  1.3078 ; 0.8000 ;    0.3051 ;   0.5887 ;  0.9400 ;  0.0363 ;  1.4891 ; 1.5000 ;    0.0244 ;   0.5455 ;  1.5230 ;  2.1054 ;  1.5999 ; 1.0000 ;    1.3159 ;   1.3885 ;  0.8830 ;  0.5554 ;  1.6279 ; 1.5000 ;    0.3412 ;   0.1276 ;  1.1810 ;  0.8331 ;  1.5737 ; 0.6000 ;    0.5294 ;   0.4681 ;  0.4070 
  53.8000 ;  0.0021 ;  0.6017 ; 1.0000 ;    0.0034 ;   0.0029 ;  1.9990 ;  0.1440 ;  0.8572 ; 0.5000 ;    0.1679 ;   0.0134 ;  0.8620 ;  0.0163 ;  1.1066 ; 0.7000 ;    0.0148 ;   0.9079 ;  0.9310 ;  0.4631 ;  1.3101 ; 0.8000 ;    0.3535 ;   0.6834 ;  0.9390 ;  0.0976 ;  1.4330 ; 1.5000 ;    0.0681 ;   0.9240 ;  1.5130 ;  2.5153 ;  1.4556 ; 1.0000 ;    1.7280 ;   0.5549 ;  0.8510 ;  0.2220 ;  1.3799 ; 1.5000 ;    0.1609 ;   0.1477 ;  1.1850 ;  0.3330 ;  1.2321 ; 0.6000 ;    0.2703 ;   0.2041 ;  0.3970 
  53.8400 ;  0.0066 ;  0.6295 ; 1.0000 ;    0.0105 ;   0.0081 ;  1.9990 ;  0.0967 ;  0.9019 ; 0.5000 ;    0.1072 ;   0.0016 ;  0.8640 ;  0.0097 ;  1.1243 ; 0.7000 ;    0.0086 ;   0.6671 ;  0.8790 ;  0.5556 ;  1.2343 ; 0.8000 ;    0.4501 ;   0.7522 ;  0.9300 ;  0.2812 ;  1.2034 ; 1.5000 ;    0.2337 ;   1.4846 ;  1.4660 ;  2.9040 ;  1.0545 ; 1.0000 ;    2.7539 ;   1.1809 ;  0.8350 ;  0.4724 ;  0.8618 ; 1.5000 ;    0.5481 ;   0.1409 ;  1.2000 ;  0.7085 ;  0.7306 ; 0.6000 ;    0.9698 ;   0.1864 ;  0.4090 
  53.8600 ;  0.0099 ;  0.6427 ; 1.0000 ;    0.0153 ;   0.0116 ;  1.9990 ;  0.0755 ;  0.9179 ; 0.5000 ;    0.0823 ;   0.0000 ;  0.8640 ;  0.0116 ;  1.1132 ; 0.7000 ;    0.0104 ;   0.6545 ;  0.8650 ;  0.5782 ;  1.1609 ; 0.8000 ;    0.4980 ;   0.7620 ;  0.9210 ;  0.3855 ;  1.0523 ; 1.5000 ;    0.3663 ;   0.7664 ;  1.4450 ;  2.1829 ;  0.8540 ; 1.0000 ;    2.5560 ;   1.0796 ;  0.8400 ;  0.4318 ;  0.6902 ; 1.5000 ;    0.6257 ;   0.1507 ;  1.2100 ;  0.6477 ;  0.6949 ; 0.6000 ;    0.9322 ;   0.1773 ;  0.4210 
  53.9800 ;  0.0416 ;  0.7082 ; 1.0000 ;    0.0588 ;   0.0449 ;  1.9990 ;  0.0016 ;  0.9131 ; 0.5000 ;    0.0018 ;   0.1019 ;  0.8450 ;  0.1468 ;  0.8203 ; 0.7000 ;    0.1789 ;   0.7877 ;  0.8580 ;  0.3642 ;  0.5624 ; 0.8000 ;    0.6476 ;   0.0005 ;  0.8500 ;  0.6303 ;  0.5109 ; 1.5000 ;    1.2337 ;   0.0247 ;  1.4780 ;  0.8129 ;  0.9179 ; 1.0000 ;    0.8856 ;   0.7945 ;  0.9070 ;  0.3178 ;  1.6067 ; 1.5000 ;    0.1978 ;   1.6925 ;  1.1990 ;  0.4767 ;  2.0623 ; 0.6000 ;    0.2312 ;   0.2408 ;  0.4530 
  53.9900 ;  0.0452 ;  0.7125 ; 1.0000 ;    0.0634 ;   0.0485 ;  1.9990 ;  0.0004 ;  0.9049 ; 0.5000 ;    0.0005 ;   0.1182 ;  0.8420 ;  0.1667 ;  0.7853 ; 0.7000 ;    0.2123 ;   0.7541 ;  0.8600 ;  0.3282 ;  0.5265 ; 0.8000 ;    0.6234 ;   0.0037 ;  0.8520 ;  0.6030 ;  0.5332 ; 1.5000 ;    1.1309 ;   0.0258 ;  1.4840 ;  0.7837 ;  1.0196 ; 1.0000 ;    0.7686 ;   0.8825 ;  0.9110 ;  0.3530 ;  1.7101 ; 1.5000 ;    0.2064 ;   1.1826 ;  1.1920 ;  0.5295 ;  2.0372 ; 0.6000 ;    0.2599 ;   0.2145 ;  0.4490 
  54.1500 ;  0.1152 ;  0.7497 ; 1.0000 ;    0.1536 ;   0.1201 ;  1.9990 ;  0.0859 ;  0.6577 ; 0.5000 ;    0.1306 ;   0.8371 ;  0.7060 ;  0.9573 ;  0.3796 ; 0.7000 ;    2.5216 ;   0.2464 ;  0.9430 ;  0.0143 ;  0.7840 ; 0.8000 ;    0.0182 ;   0.1447 ;  0.9230 ;  0.0000 ;  1.4830 ; 1.5000 ;    0.0000 ;   0.2022 ;  1.5300 ;  0.5933 ;  1.2988 ; 1.0000 ;    0.4568 ;   1.4108 ;  0.8380 ;  0.5643 ;  0.6665 ; 1.5000 ;    0.8467 ;   0.0335 ;  1.2120 ;  0.8465 ;  1.0954 ; 0.6000 ;    0.7728 ;   0.2164 ;  0.4420 
