                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
  2.output ;               0,1599 ;               0,1580 ;                  NaN ;                  NaN ;                  NaN ;               0,1466 ;               0,3159 ;               0,0059 ;                  NaN ;                  NaN ;               0,0000 ;               0,3102 ;                  NaN ;               0,1631 ;                  NaN ;                  NaN ;                  NaN ;              -0,0494 ;               0,3883 ;               0,3883 ;                  NaN ;                  NaN ;               0,3882 ;               0,2382 ;               0,1621 ;               0,1602 ;                  NaN ;                  NaN ;               0,1746 ;               0,2443 ;                  NaN ;              -0,0381 ;                  NaN ;                  NaN ;               0,1420 ;              -0,3972 ;               0,1420 ;               0,1603 ;                  NaN ;                  NaN ;               0,1613 ;               0,1659 ;               0,1420 ;               0,2925 ;                  NaN ;               0,1560 ;               0,1632 ;               0,8407 
   2.delay ;               0,7357 ;               0,7370 ;                  NaN ;                  NaN ;                  NaN ;               0,4079 ;               0,8536 ;               0,6077 ;                  NaN ;                  NaN ;               0,7350 ;               0,0000 ;                  NaN ;               0,7312 ;                  NaN ;                  NaN ;                  NaN ;               0,4681 ;               0,7606 ;               0,7606 ;                  NaN ;                  NaN ;               0,7574 ;               0,5305 ;               0,7307 ;               0,7292 ;                  NaN ;                  NaN ;               0,7298 ;               0,3288 ;                  NaN ;               0,7336 ;                  NaN ;                  NaN ;               0,7281 ;               0,1224 ;               0,7281 ;               0,7311 ;                  NaN ;                  NaN ;               0,7311 ;               0,2627 ;               0,7281 ;               0,7171 ;                  NaN ;               0,7330 ;               0,7320 ;               0,5854 
   3.input ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
   3.speed ;               0,7502 ;               0,7531 ;                  NaN ;                  NaN ;                  NaN ;               0,7477 ;               0,7466 ;               0,7518 ;                  NaN ;                  NaN ;               0,7499 ;               0,7552 ;                  NaN ;               0,0000 ;                  NaN ;                  NaN ;                  NaN ;               1,1830 ;               0,7501 ;               0,7501 ;                  NaN ;                  NaN ;               0,7446 ;               0,6955 ;               0,7495 ;               0,7483 ;                  NaN ;                  NaN ;               0,7485 ;               0,7512 ;                  NaN ;               0,7525 ;                  NaN ;                  NaN ;               0,7659 ;               0,7464 ;               0,7659 ;               0,7460 ;                  NaN ;                  NaN ;               0,7461 ;               0,6898 ;               0,7659 ;               0,7479 ;                  NaN ;               0,7466 ;               0,7382 ;               0,6368 
    3.ksiD ;               0,7000 ;               0,7000 ;                  NaN ;                  NaN ;                  NaN ;               0,7000 ;               0,7000 ;               0,7000 ;                  NaN ;                  NaN ;               0,7000 ;               0,7000 ;                  NaN ;               0,7000 ;                  NaN ;                  NaN ;                  NaN ;               0,7000 ;               0,7000 ;               0,7000 ;                  NaN ;                  NaN ;               0,7000 ;               0,7000 ;               0,7000 ;               0,7000 ;                  NaN ;                  NaN ;               0,7000 ;               0,7000 ;                  NaN ;               0,7000 ;                  NaN ;                  NaN ;               0,7000 ;               0,7000 ;               0,7000 ;               0,7000 ;                  NaN ;                  NaN ;               0,7000 ;               0,7000 ;               0,7000 ;               0,7000 ;                  NaN ;               0,7000 ;               0,7000 ;               0,7000 
 3.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
  3.output ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
   3.delay ;               0,9469 ;               0,9434 ;                  NaN ;                  NaN ;                  NaN ;               0,4177 ;               0,9362 ;               0,9382 ;                  NaN ;                  NaN ;               0,9332 ;               0,7669 ;                  NaN ;               0,9662 ;                  NaN ;                  NaN ;                  NaN ;               0,0000 ;               0,9367 ;               0,9367 ;                  NaN ;                  NaN ;               0,9318 ;               0,3964 ;               0,9348 ;               0,9377 ;                  NaN ;                  NaN ;               0,9375 ;               0,3121 ;                  NaN ;               0,8996 ;                  NaN ;                  NaN ;               0,9372 ;               0,1624 ;               0,9372 ;               0,9372 ;                  NaN ;                  NaN ;               0,9404 ;               0,1767 ;               0,9372 ;               0,9381 ;                  NaN ;               0,9362 ;               0,9391 ;               0,6748 
   4.input ;               0,2920 ;               0,2937 ;                  NaN ;                  NaN ;                  NaN ;               0,2895 ;               0,2913 ;               0,2931 ;                  NaN ;                  NaN ;               0,3173 ;               0,4054 ;                  NaN ;               0,2926 ;                  NaN ;                  NaN ;                  NaN ;               0,2895 ;               0,0000 ;              -0,0000 ;                  NaN ;                  NaN ;               0,0027 ;              -0,3402 ;               0,2919 ;               0,2930 ;                  NaN ;                  NaN ;               0,2919 ;               0,2899 ;                  NaN ;               0,2925 ;                  NaN ;                  NaN ;               0,2889 ;               0,2651 ;               0,2889 ;               0,2932 ;                  NaN ;                  NaN ;               0,2930 ;               0,2556 ;               0,2889 ;               0,2920 ;                  NaN ;               0,2941 ;               0,2933 ;               0,2737 
   4.speed ;               0,8762 ;               0,8812 ;                  NaN ;                  NaN ;                  NaN ;               0,8685 ;               0,8739 ;               0,8795 ;                  NaN ;                  NaN ;               0,9519 ;               1,2166 ;                  NaN ;               0,8778 ;                  NaN ;                  NaN ;                  NaN ;               0,8687 ;               0,0001 ;               0,0000 ;                  NaN ;                  NaN ;               0,0081 ;              -1,0206 ;               0,8757 ;               0,8791 ;                  NaN ;                  NaN ;               0,8758 ;               0,8697 ;                  NaN ;               0,8776 ;                  NaN ;                  NaN ;               0,8667 ;               0,7953 ;               0,8667 ;               0,8798 ;                  NaN ;                  NaN ;               0,8790 ;               0,7668 ;               0,8667 ;               0,8762 ;                  NaN ;               0,8824 ;               0,8800 ;               0,8213 
