                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
   5.input ;              -0,0000 ;               0,0027 ;                  NaN ;                  NaN ;                  NaN ;              -0,0039 ;              -0,0005 ;               0,0002 ;                  NaN ;                  NaN ;              -0,0010 ;              -0,0006 ;                  NaN ;              -0,0002 ;                  NaN ;                  NaN ;                  NaN ;               0,0167 ;               0,0013 ;               0,0004 ;                  NaN ;                  NaN ;              -0,0013 ;              -0,0079 ;               1,0000 ;               0,0002 ;                  NaN ;                  NaN ;               0,0500 ;              -0,3072 ;                  NaN ;              -0,0011 ;                  NaN ;                  NaN ;              -0,0009 ;              -0,0191 ;              -0,0023 ;               0,0001 ;                  NaN ;                  NaN ;              -0,0006 ;              -0,0093 ;              -0,0016 ;               0,0011 ;                  NaN ;               0,0001 ;              -0,0047 ;               0,0191 
   5.speed ;               0,0024 ;               0,0040 ;                  NaN ;                  NaN ;                  NaN ;              -0,0133 ;               0,0140 ;              -0,0046 ;                  NaN ;                  NaN ;               0,0014 ;               0,0244 ;                  NaN ;               0,0016 ;                  NaN ;                  NaN ;                  NaN ;              -0,0111 ;              -0,0092 ;              -0,0031 ;                  NaN ;                  NaN ;              -0,0075 ;               0,0432 ;               0,0015 ;               1,0000 ;                  NaN ;                  NaN ;               0,5072 ;               0,5699 ;                  NaN ;              -0,0016 ;                  NaN ;                  NaN ;              -0,0197 ;               0,0674 ;              -0,0493 ;              -0,0037 ;                  NaN ;                  NaN ;              -0,0243 ;              -0,0080 ;              -0,0328 ;              -0,0025 ;                  NaN ;              -0,0001 ;               0,0043 ;              -0,0634 
    5.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 5.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
  5.output ;               0,0006 ;               0,0064 ;                  NaN ;                  NaN ;                  NaN ;              -0,0089 ;              -0,0232 ;               0,0077 ;                  NaN ;                  NaN ;              -0,0965 ;               0,0415 ;                  NaN ;               0,0039 ;                  NaN ;                  NaN ;                  NaN ;              -0,0195 ;               0,0100 ;               0,0033 ;                  NaN ;                  NaN ;               0,0124 ;              -0,0365 ;               0,4583 ;               0,5131 ;                  NaN ;                  NaN ;               1,0000 ;               0,4133 ;                  NaN ;              -0,0004 ;                  NaN ;                  NaN ;              -0,0097 ;               0,0093 ;              -0,0242 ;              -0,0061 ;                  NaN ;                  NaN ;               0,0059 ;              -0,0085 ;              -0,0161 ;               0,0019 ;                  NaN ;              -0,0001 ;              -0,0024 ;              -0,1647 
   5.delay ;              -0,0812 ;              -0,0011 ;                  NaN ;                  NaN ;                  NaN ;               0,5626 ;               0,0017 ;              -0,0006 ;                  NaN ;                  NaN ;              -0,0100 ;               0,3612 ;                  NaN ;              -0,0002 ;                  NaN ;                  NaN ;                  NaN ;               0,6756 ;               0,0014 ;               0,0005 ;                  NaN ;                  NaN ;               0,0276 ;               0,9695 ;              -0,2056 ;               0,0421 ;                  NaN ;                  NaN ;               0,0302 ;               1,0000 ;                  NaN ;               0,0010 ;                  NaN ;                  NaN ;               0,0008 ;               1,1400 ;               0,0021 ;               0,0009 ;                  NaN ;                  NaN ;              -0,0012 ;               1,0970 ;               0,0014 ;              -0,0003 ;                  NaN ;              -0,0000 ;               0,0013 ;               1,0090 
   6.input ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
   6.speed ;               0,0061 ;               0,0052 ;                  NaN ;                  NaN ;                  NaN ;              -0,0020 ;              -0,0346 ;               0,0115 ;                  NaN ;                  NaN ;               0,5249 ;              -0,0600 ;                  NaN ;              -0,0066 ;                  NaN ;                  NaN ;                  NaN ;               0,8994 ;              -0,0038 ;              -0,0013 ;                  NaN ;                  NaN ;               0,0000 ;              -0,0204 ;              -0,0125 ;              -0,0020 ;                  NaN ;                  NaN ;              -0,0006 ;               0,0165 ;                  NaN ;               1,0000 ;                  NaN ;                  NaN ;               0,0746 ;               1,4456 ;               0,1866 ;              -0,0016 ;                  NaN ;                  NaN ;              -0,0646 ;              -0,0241 ;               0,1244 ;              -0,0060 ;                  NaN ;               0,0006 ;              -0,0108 ;               0,0480 
    6.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 6.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
