                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
  3.output ;              -0,2956 ;              -0,0288 ;                  NaN ;              -0,0693 ;              -0,3011 ;               0,0003 ;              -0,3625 ;               0,2224 ;                  NaN ;              -0,3143 ;               0,4285 ;              -0,0514 ;               0,2430 ;               0,5351 ;              -0,0000 ;              -0,0939 ;               1,0000 ;              -0,0168 ;              -0,1426 ;              -0,0526 ;               0,0000 ;              -0,1661 ;              -0,0633 ;               0,0489 ;               0,2588 ;              -0,2314 ;                  NaN ;               0,2467 ;              -0,1035 ;              -0,2471 ;               0,5402 ;               0,2340 ;                  NaN ;               0,2672 ;               0,3609 ;              -0,0038 ;               0,3609 ;               0,1314 ;                  NaN ;               0,1036 ;               0,1735 ;               0,0035 ;               0,3609 ;              -0,1299 ;               0,0000 ;               0,5732 ;              -0,0084 ;              -0,0274 
   3.delay ;               0,0007 ;              -0,0014 ;                  NaN ;               0,0364 ;               0,0025 ;               0,0160 ;               0,0015 ;               0,0015 ;                  NaN ;               0,0056 ;              -0,0186 ;               0,0218 ;              -0,0154 ;              -0,2613 ;               0,0000 ;               0,0781 ;              -0,0168 ;               1,0000 ;              -0,0079 ;              -0,0056 ;              -0,0000 ;              -0,0085 ;              -0,0087 ;              -0,0017 ;              -0,0019 ;               0,0018 ;                  NaN ;              -0,0034 ;              -0,0052 ;               0,0008 ;              -0,0183 ;               0,1441 ;                  NaN ;              -0,1445 ;              -0,1211 ;               0,2026 ;              -0,1211 ;              -0,0003 ;                  NaN ;              -0,1460 ;              -0,1398 ;               0,0016 ;              -0,1211 ;               0,0001 ;              -0,0000 ;              -0,0424 ;              -0,1747 ;              -0,0014 
   4.input ;              -0,0027 ;               0,0027 ;                  NaN ;              -0,0212 ;              -0,0024 ;              -0,0028 ;              -0,0001 ;               0,0001 ;                  NaN ;               0,1740 ;              -0,5207 ;               0,0089 ;              -0,4638 ;               0,0004 ;               0,0000 ;              -0,3429 ;              -0,1426 ;              -0,0079 ;               1,0000 ;               0,4999 ;              -0,0000 ;               0,8344 ;               0,6177 ;              -0,0967 ;              -0,0045 ;               0,0056 ;                  NaN ;              -0,0047 ;               0,0047 ;               0,0013 ;               0,1767 ;              -0,0002 ;                  NaN ;               0,1629 ;              -0,1811 ;               0,0003 ;              -0,1811 ;              -0,0014 ;                  NaN ;              -0,1205 ;               0,1493 ;              -0,0004 ;              -0,1811 ;               0,0003 ;              -0,0000 ;              -0,2053 ;              -0,1278 ;               0,0005 
   4.speed ;              -0,0022 ;               0,0011 ;                  NaN ;              -0,0159 ;              -0,0028 ;              -0,0038 ;               0,0003 ;              -0,0002 ;                  NaN ;              -0,0777 ;              -0,1494 ;              -0,1905 ;              -0,1340 ;               0,0059 ;               0,0000 ;              -0,0204 ;              -0,0526 ;              -0,0056 ;               0,4999 ;               1,0000 ;              -0,0000 ;               0,0000 ;               0,9051 ;               0,7867 ;              -0,0074 ;               0,0064 ;                  NaN ;              -0,0067 ;              -0,0005 ;               0,0074 ;               0,3540 ;              -0,0000 ;                  NaN ;               0,3843 ;               0,0532 ;               0,0010 ;               0,0532 ;               0,0004 ;                  NaN ;               0,1552 ;               0,0308 ;              -0,0030 ;               0,0532 ;               0,0001 ;              -0,0000 ;              -0,0302 ;              -0,0703 ;               0,0003 
    4.ksiD ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;              -1,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;               1,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               1,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 
 4.density ;              -0,0018 ;               0,0025 ;                  NaN ;              -0,0149 ;              -0,0012 ;              -0,0006 ;              -0,0003 ;               0,0003 ;                  NaN ;               0,2382 ;              -0,5221 ;               0,1105 ;              -0,4645 ;              -0,0030 ;               0,0000 ;              -0,3881 ;              -0,1661 ;              -0,0085 ;               0,8344 ;               0,0000 ;              -0,0000 ;               1,0000 ;               0,1116 ;              -0,6001 ;              -0,0010 ;               0,0026 ;                  NaN ;              -0,0016 ;               0,0057 ;              -0,0021 ;              -0,0548 ;              -0,0002 ;                  NaN ;              -0,0651 ;              -0,2294 ;              -0,0146 ;              -0,2294 ;              -0,0002 ;                  NaN ;              -0,2059 ;               0,1782 ;              -0,0005 ;              -0,2294 ;               0,2585 ;              -0,0000 ;              -0,3015 ;               0,0135 ;               0,1616 
  4.output ;              -0,0021 ;               0,0011 ;                  NaN ;              -0,0170 ;              -0,0025 ;               0,0016 ;               0,0003 ;              -0,0002 ;                  NaN ;              -0,0274 ;              -0,2198 ;              -0,1412 ;              -0,1965 ;               0,0048 ;               0,0000 ;              -0,0850 ;              -0,0633 ;              -0,0087 ;               0,6177 ;               0,9051 ;              -0,0000 ;               0,1116 ;               1,0000 ;               0,6954 ;              -0,0071 ;               0,0069 ;                  NaN ;              -0,0065 ;              -0,0054 ;               0,0057 ;               0,3842 ;               0,0000 ;                  NaN ;               0,3720 ;              -0,0061 ;              -0,0084 ;              -0,0061 ;              -0,0026 ;                  NaN ;               0,0716 ;               0,0018 ;               0,0001 ;              -0,0062 ;              -0,3025 ;              -0,0000 ;               0,0223 ;              -0,1638 ;              -0,2629 
   4.delay ;              -0,0009 ;              -0,0010 ;                  NaN ;              -0,0037 ;              -0,0018 ;               0,0078 ;               0,0003 ;              -0,0002 ;                  NaN ;              -0,2028 ;               0,1874 ;              -0,2121 ;               0,1657 ;               0,0066 ;              -0,0000 ;               0,2091 ;               0,0489 ;              -0,0017 ;              -0,0967 ;               0,7867 ;               0,0000 ;              -0,6001 ;               0,6954 ;               1,0000 ;              -0,0055 ;               0,0039 ;                  NaN ;              -0,0046 ;              -0,0055 ;               0,0074 ;               0,3257 ;               0,0001 ;                  NaN ;               0,3439 ;               0,1717 ;              -0,0008 ;               0,1717 ;              -0,0003 ;                  NaN ;               0,2334 ;              -0,1010 ;              -0,0013 ;               0,1717 ;              -0,2219 ;               0,0000 ;               0,1696 ;              -0,0639 ;              -0,1808 
   5.input ;              -0,0003 ;               0,0001 ;                  NaN ;               0,0045 ;              -0,0005 ;               0,0213 ;              -0,0019 ;               0,0013 ;                  NaN ;              -0,0016 ;               0,0035 ;               0,0007 ;               0,0029 ;               0,0002 ;              -0,0000 ;              -0,1692 ;               0,2588 ;              -0,0019 ;              -0,0045 ;              -0,0074 ;               0,0000 ;              -0,0010 ;              -0,0071 ;              -0,0055 ;               1,0000 ;              -0,9659 ;                  NaN ;               0,9576 ;              -0,2980 ;              -0,7962 ;              -0,0552 ;              -0,0056 ;                  NaN ;              -0,0201 ;               0,3340 ;              -0,0065 ;               0,3340 ;              -0,0002 ;                  NaN ;               0,2820 ;               0,2550 ;              -0,0004 ;               0,3340 ;               0,0000 ;               0,0000 ;               0,2493 ;               0,1923 ;               0,0017 
   5.speed ;               0,0004 ;              -0,0002 ;                  NaN ;              -0,0035 ;               0,0006 ;              -0,0225 ;               0,0012 ;              -0,0005 ;                  NaN ;               0,0015 ;              -0,0038 ;               0,0003 ;              -0,0031 ;              -0,0002 ;              -0,0000 ;               0,1669 ;              -0,2314 ;               0,0018 ;               0,0056 ;               0,0064 ;               0,0000 ;               0,0026 ;               0,0069 ;               0,0039 ;              -0,9659 ;               1,0000 ;                  NaN ;              -0,9524 ;               0,4811 ;               0,6251 ;               0,2071 ;               0,0069 ;                  NaN ;               0,1557 ;              -0,3030 ;               0,0058 ;              -0,3030 ;               0,0002 ;                  NaN ;              -0,2535 ;              -0,2241 ;               0,0005 ;              -0,3030 ;              -0,0006 ;               0,0000 ;              -0,2208 ;              -0,2082 ;              -0,0022 
    5.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 5.density ;              -0,0005 ;               0,0005 ;                  NaN ;               0,0036 ;              -0,0008 ;               0,0197 ;              -0,0016 ;               0,0010 ;                  NaN ;              -0,0021 ;               0,0203 ;              -0,0032 ;               0,0177 ;               0,0000 ;              -0,0000 ;              -0,1452 ;               0,2467 ;              -0,0034 ;              -0,0047 ;              -0,0067 ;               0,0000 ;              -0,0016 ;              -0,0065 ;              -0,0046 ;               0,9576 ;              -0,9524 ;                  NaN ;               1,0000 ;              -0,3972 ;              -0,6593 ;              -0,1355 ;              -0,0060 ;                  NaN ;              -0,1198 ;               0,3263 ;              -0,0059 ;               0,3263 ;               0,0004 ;                  NaN ;               0,2957 ;               0,2656 ;              -0,0006 ;               0,3263 ;               0,0004 ;               0,0000 ;               0,2331 ;               0,1988 ;               0,0018 
