                 0.NN ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
              average ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;               1,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;              -1,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -1,0000 ;               0,0000 ;               0,0000 ;              -0,0000 
         st-deviation ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               0,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               0,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;                  NaN ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               1,0000 ;               0,0000 ;               1,0000 ;               1,0000 ;               1,0000 
                  max ;               1,4213 ;               1,4195 ;                  NaN ;               1,7329 ;               1,4355 ;               1,4160 ;               1,4146 ;               1,4134 ;                  NaN ;               1,8410 ;               2,7902 ;               1,1718 ;               2,6908 ;               1,4112 ;               1,0000 ;               3,8496 ;               5,6457 ;               1,4663 ;               1,4117 ;               1,4145 ;              -1,0000 ;               1,4672 ;               1,7482 ;               1,1621 ;               1,4135 ;               1,4126 ;                  NaN ;               1,8550 ;               2,7855 ;               1,2193 ;               3,2249 ;               1,4140 ;                  NaN ;               3,9519 ;               5,3518 ;               1,2629 ;               5,3518 ;               1,4153 ;                  NaN ;               5,6506 ;               6,7089 ;               1,6762 ;               5,3518 ;               1,4137 ;              -1,0000 ;               8,0196 ;               5,5720 ;               1,2078 
                  min ;              -1,4067 ;              -1,4090 ;                  NaN ;              -1,1994 ;              -1,3950 ;              -1,4407 ;              -1,4136 ;              -1,4142 ;                  NaN ;              -1,0926 ;              -0,8937 ;              -1,6796 ;              -1,3960 ;              -1,4175 ;               1,0000 ;              -1,1462 ;              -0,9076 ;              -1,3025 ;              -1,4111 ;              -1,4135 ;              -1,0000 ;              -1,4641 ;              -1,0802 ;              -1,7301 ;              -1,4150 ;              -1,4118 ;                  NaN ;              -1,0795 ;              -0,7168 ;              -1,6190 ;              -1,2730 ;              -1,4141 ;                  NaN ;              -1,1137 ;              -0,8687 ;              -1,5513 ;              -0,8687 ;              -1,4131 ;                  NaN ;              -0,7375 ;              -0,7244 ;              -1,1798 ;              -0,8686 ;              -1,4063 ;              -1,0000 ;              -0,7504 ;              -0,7729 ;              -1,6168 
