                 0.NN ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
              average ;               0,1658 ;               0,4991 ;               1,0000 ;               0,4106 ;               0,1672 ;               1,9990 ;               0,2083 ;               0,6251 ;               0,5000 ;               0,4741 ;               0,2079 ;               0,7803 ;               0,3751 ;               0,7508 ;               0,7000 ;               0,5852 ;               0,3772 ;               0,9385 ;               0,2916 ;               0,8749 ;               0,8000 ;               0,3333 ;               0,2963 ;               0,9042 ;               0,3335 ;               0,9999 ;               1,5000 ;               0,4848 ;               0,3358 ;               1,4916 ;               1,0092 ;               1,1250 ;               1,0000 ;               0,9982 ;               1,0027 ;               0,8831 ;               0,4011 ;               1,2495 ;               1,5000 ;               0,3697 ;               0,4039 ;               1,2044 ;               0,6016 ;               1,3750 ;               0,6000 ;               0,5102 ;               0,5914 ;               0,4308 
         st-deviation ;               0,1179 ;               0,1768 ;               0,0000 ;               0,3424 ;               0,1198 ;               0,0007 ;               0,1473 ;               0,2210 ;               0,0000 ;               0,4339 ;               0,2326 ;               0,0722 ;               0,2617 ;               0,2651 ;               0,0000 ;               0,5030 ;               0,4107 ;               0,0672 ;               0,2063 ;               0,3093 ;               0,0000 ;               0,2271 ;               0,2738 ;               0,0325 ;               0,2357 ;               0,3536 ;               0,0000 ;               0,4491 ;               0,4684 ;               0,0331 ;               0,6384 ;               0,3978 ;               0,0000 ;               0,7171 ;               0,9652 ;               0,0316 ;               0,3861 ;               0,4419 ;               0,0000 ;               0,4436 ;               0,5123 ;               0,0207 ;               0,5791 ;               0,4862 ;               0,0000 ;               0,6005 ;               0,7119 ;               0,0209 
                  max ;               0,3333 ;               0,7500 ;               1,0000 ;               1,0039 ;               0,3392 ;               2,0000 ;               0,4167 ;               0,9374 ;               0,5000 ;               1,2729 ;               0,8569 ;               0,8650 ;               1,0793 ;               1,1250 ;               0,7000 ;               2,5216 ;               2,6958 ;               1,0370 ;               0,5828 ;               1,3124 ;               0,8000 ;               0,6666 ;               0,7750 ;               0,9420 ;               0,6667 ;               1,4993 ;               1,5000 ;               1,3179 ;               1,6405 ;               1,5320 ;               3,0681 ;               1,6875 ;               1,0000 ;               3,8319 ;               6,1680 ;               0,9230 ;               2,4672 ;               1,8750 ;               1,5000 ;               2,8762 ;               3,8411 ;               1,2390 ;               3,7008 ;               2,0623 ;               0,6000 ;               5,3258 ;               4,5580 ;               0,4560 
                  min ;               0,0000 ;               0,2500 ;               1,0000 ;               0,0000 ;               0,0000 ;               1,9980 ;               0,0000 ;               0,3126 ;               0,5000 ;               0,0000 ;               0,0000 ;               0,6590 ;               0,0097 ;               0,3750 ;               0,7000 ;               0,0086 ;               0,0044 ;               0,8510 ;               0,0006 ;               0,4376 ;               0,8000 ;               0,0008 ;               0,0005 ;               0,8480 ;               0,0000 ;               0,5007 ;               1,5000 ;               0,0000 ;               0,0000 ;               1,4380 ;               0,1965 ;               0,5625 ;               1,0000 ;               0,1996 ;               0,1643 ;               0,8340 ;               0,0657 ;               0,6250 ;               1,5000 ;               0,0425 ;               0,0328 ;               1,1800 ;               0,0986 ;               0,6913 ;               0,6000 ;               0,0596 ;               0,0412 ;               0,3970 
