        epoch      ;  log10(epoch)     ;           MSE           ;         delta MSE       
                  1;             0,0000;        21,64729171827251;        21,64729171827251
                  2;             0,3010;         3,17211033736644;       -18,47518138090607
                  3;             0,4771;         1,02004859604559;        -2,15206174132085
                  4;             0,6021;         0,96228879342147;        -0,05775980262412
                  5;             0,6990;         0,96142496224044;        -0,00086383118103
                  6;             0,7782;         0,95910761118879;        -0,00231735105165
                  7;             0,8451;         0,95766518262185;        -0,00144242856694
                  8;             0,9031;         0,95425564996169;        -0,00340953266016
                  9;             0,9542;         0,94460985369171;        -0,00964579626998
                 10;             1,0000;         0,93432241992162;        -0,01028743377009
                 11;             1,0414;         0,92164792317283;        -0,01267449674879
                 12;             1,0792;         0,91013908237468;        -0,01150884079815
                 13;             1,1139;         0,89968573266331;        -0,01045334971137
                 14;             1,1461;         0,89047089798567;        -0,00921483467764
                 15;             1,1761;         0,88127823176670;        -0,00919266621897
                 16;             1,2041;         0,87327689135288;        -0,00800134041382
                 17;             1,2304;         0,86869897473236;        -0,00457791662052
                 18;             1,2553;         0,86718362994925;        -0,00151534478311
                 19;             1,2788;         0,86482808835379;        -0,00235554159546
                 20;             1,3010;         0,86381110773300;        -0,00101698062079
                 21;             1,3222;         0,86348813648835;        -0,00032297124465
                 22;             1,3424;         0,86633961292076;         0,00285147643241
                 23;             1,3617;         0,86917493875581;         0,00283532583505
                 24;             1,3802;         0,87193957739142;         0,00276463863561
                 25;             1,3979;         0,87597916519881;         0,00403958780739
                 26;             1,4150;         0,88045384278446;         0,00447467758565
                 27;             1,4314;         0,88449466411497;         0,00404082133051
                 28;             1,4472;         0,88844863259742;         0,00395396848245
                 29;             1,4624;         0,89210939376432;         0,00366076116690
                 30;             1,4771;         0,89568742013219;         0,00357802636787
                 31;             1,4914;         0,89933296646951;         0,00364554633732
                 32;             1,5051;         0,90265447027671;         0,00332150380720
                 33;             1,5185;         0,90572076009123;         0,00306628981452
                 34;             1,5315;         0,90861763965902;         0,00289687956779
                 35;             1,5441;         0,91021502938089;         0,00159738972187
                 36;             1,5563;         0,91116342290620;         0,00094839352531
                 37;             1,5682;         0,91246126260607;         0,00129783969987
                 38;             1,5798;         0,91432435534555;         0,00186309273948
                 39;             1,5911;         0,91593255414555;         0,00160819880000
                 40;             1,6021;         0,91779576438053;         0,00186321023498
                 41;             1,6128;         0,91985436686661;         0,00205860248608
                 42;             1,6232;         0,92134138700769;         0,00148702014107
                 43;             1,6335;         0,92308316373944;         0,00174177673175
                 44;             1,6435;         0,92541892926264;         0,00233576552320
                 45;             1,6532;         0,92783467536958;         0,00241574610694
                 46;             1,6628;         0,92967817275529;         0,00184349738571
                 47;             1,6721;         0,92959727086922;        -0,00008090188607
                 48;             1,6812;         0,92882754779828;        -0,00076972307094
                 49;             1,6902;         0,92839543721894;        -0,00043211057934
                 50;             1,6990;         0,92774643304377;        -0,00064900417517
                 51;             1,7076;         0,92679019755483;        -0,00095623548894
                 52;             1,7160;         0,92619979840698;        -0,00059039914785
                 53;             1,7243;         0,92646659781938;         0,00026679941240
                 54;             1,7324;         0,92701132048333;         0,00054472266395
                 55;             1,7404;         0,92785333027982;         0,00084200979649
                 56;             1,7482;         0,92873696170833;         0,00088363142851
                 57;             1,7559;         0,92953098112005;         0,00079401941172
                 58;             1,7634;         0,93001539175882;         0,00048441063877
                 59;             1,7709;         0,93033385527981;         0,00031846352099
                 60;             1,7782;         0,93077787915883;         0,00044402387902
                 61;             1,7853;         0,93138308312613;         0,00060520396730
                 62;             1,7924;         0,93189400139097;         0,00051091826484
                 63;             1,7993;         0,93238037231869;         0,00048637092772
                 64;             1,8062;         0,93292337489045;         0,00054300257176
                 65;             1,8129;         0,93357169039402;         0,00064831550357
                 66;             1,8195;         0,93435831350866;         0,00078662311464
                 67;             1,8261;         0,93526680783042;         0,00090849432176
                 68;             1,8325;         0,93617071850392;         0,00090391067350
                 69;             1,8388;         0,93695481470695;         0,00078409620303
                 70;             1,8451;         0,93784928358138;         0,00089446887443
                 71;             1,8513;         0,93960929253769;         0,00176000895631
                 72;             1,8573;         0,94145345920283;         0,00184416666514
                 73;             1,8633;         0,94381881438673;         0,00236535518390
                 74;             1,8692;         0,94653937436540;         0,00272055997867
                 75;             1,8751;         0,94941422278593;         0,00287484842053
                 76;             1,8808;         0,95239600069065;         0,00298177790472
                 77;             1,8865;         0,95508533798330;         0,00268933729265
                 78;             1,8921;         0,95729269485221;         0,00220735686891
                 79;             1,8976;         0,95923658416915;         0,00194388931694
                 80;             1,9031;         0,96099679869117;         0,00176021452202
                 81;             1,9085;         0,96220307195598;         0,00120627326481
                 82;             1,9138;         0,96319601309041;         0,00099294113443
                 83;             1,9191;         0,96426829469534;         0,00107228160493
                 84;             1,9243;         0,96592193448193;         0,00165363978659
                 85;             1,9294;         0,96816644423477;         0,00224450975284
                 86;             1,9345;         0,96960268266037;         0,00143623842560
                 87;             1,9395;         0,97059889614130;         0,00099621348093
                 88;             1,9445;         0,97125660541211;         0,00065770927081
                 89;             1,9494;         0,97167317830613;         0,00041657289402
                 90;             1,9542;         0,97193518664932;         0,00026200834319
                 91;             1,9590;         0,97209952140889;         0,00016433475957
                 92;             1,9638;         0,97226525645882;         0,00016573504993
                 93;             1,9685;         0,97227361066586;         0,00000835420704
                 94;             1,9731;         0,97256415562261;         0,00029054495675
                 95;             1,9777;         0,97247865789987;        -0,00008549772274
                 96;             1,9823;         0,97216469262249;        -0,00031396527738
                 97;             1,9868;         0,97172088762346;        -0,00044380499903
                 98;             1,9912;         0,97177184013191;         0,00005095250845
                 99;             1,9956;         0,97143030392153;        -0,00034153621038
                100;             2,0000;         0,97113050585921;        -0,00029979806232
                101;             2,0043;         0,97102229363620;        -0,00010821222301
                102;             2,0086;         0,97110923461593;         0,00008694097973
                103;             2,0128;         0,97125512005706;         0,00014588544113
                104;             2,0170;         0,97160177890681;         0,00034665884975
                105;             2,0212;         0,97134179343450;        -0,00025998547231
                106;             2,0253;         0,97146021402752;         0,00011842059302
                107;             2,0294;         0,97120335036222;        -0,00025686366530
                108;             2,0334;         0,97104301580315;        -0,00016033455907
                109;             2,0374;         0,97100508277716;        -0,00003793302599
                110;             2,0414;         0,97116218126149;         0,00015709848433
                111;             2,0453;         0,97156034375443;         0,00039816249294
                112;             2,0492;         0,97160538406633;         0,00004504031190
                113;             2,0531;         0,97141746686402;        -0,00018791720231
                114;             2,0569;         0,97143278327924;         0,00001531641522
                115;             2,0607;         0,97169415268833;         0,00026136940909
                116;             2,0645;         0,97211559316226;         0,00042144047393
                117;             2,0682;         0,97172338929888;        -0,00039220386338
                118;             2,0719;         0,97184046599514;         0,00011707669626
                119;             2,0755;         0,97209230576489;         0,00025183976975
                120;             2,0792;         0,97159691563602;        -0,00049539012887
                121;             2,0828;         0,97150194359921;        -0,00009497203681
                122;             2,0864;         0,97150558718978;         0,00000364359057
                123;             2,0899;         0,97168237593625;         0,00017678874647
                124;             2,0934;         0,97190082445942;         0,00021844852317
                125;             2,0969;         0,97216185720644;         0,00026103274702
                126;             2,1004;         0,97243370232514;         0,00027184511870
                127;             2,1038;         0,97280043715885;         0,00036673483371
                128;             2,1072;         0,97310224082336;         0,00030180366451
                129;             2,1106;         0,97263563267496;        -0,00046660814840
                130;             2,1139;         0,97249273710013;        -0,00014289557483
                131;             2,1173;         0,97232136638718;        -0,00017137071295
