        epoch      ;  log10(epoch)     ;           MSE           ;         delta MSE       
                  1;             0,0000;        22,60055902971704;        22,60055902971704
                  2;             0,3010;         2,90788128941602;       -19,69267774030102
                  3;             0,4771;         0,77724502646121;        -2,13063626295481
                  4;             0,6021;         0,77181470030213;        -0,00543032615908
                  5;             0,6990;         0,76805797726372;        -0,00375672303841
                  6;             0,7782;         0,76436276516527;        -0,00369521209845
                  7;             0,8451;         0,76059129710972;        -0,00377146805555
                  8;             0,9031;         0,75669293956585;        -0,00389835754387
                  9;             0,9542;         0,75262236422443;        -0,00407057534142
                 10;             1,0000;         0,74832869810082;        -0,00429366612361
                 11;             1,0414;         0,74375403416918;        -0,00457466393164
                 12;             1,0792;         0,73883479863726;        -0,00491923553192
                 13;             1,1139;         0,73350597551405;        -0,00532882312321
                 14;             1,1461;         0,72770924365035;        -0,00579673186370
                 15;             1,1761;         0,72140558784105;        -0,00630365580930
                 16;             1,2041;         0,71459097888139;        -0,00681460895966
                 17;             1,2304;         0,70731052097268;        -0,00728045790871
                 18;             1,2553;         0,69966396284239;        -0,00764655813029
                 19;             1,2788;         0,69179685291257;        -0,00786710992982
                 20;             1,3010;         0,68387799244915;        -0,00791886046342
                 21;             1,3222;         0,67607127157999;        -0,00780672086917
                 22;             1,3424;         0,66851246563587;        -0,00755880594412
                 23;             1,3617;         0,66129756080545;        -0,00721490483042
                 24;             1,3802;         0,65448272717238;        -0,00681483363307
                 25;             1,3979;         0,64809178636189;        -0,00639094081049
                 26;             1,4150;         0,64212625185630;        -0,00596553450559
                 27;             1,4314;         0,63657443880484;        -0,00555181305146
                 28;             1,4472;         0,63141804748927;        -0,00515639131557
                 29;             1,4624;         0,62663607251352;        -0,00478197497575
                 30;             1,4771;         0,62220665208837;        -0,00442942042515
                 31;             1,4914;         0,61810767932310;        -0,00409897276527
                 32;             1,5051;         0,61431687576621;        -0,00379080355689
                 33;             1,5185;         0,61081177733058;        -0,00350509843563
                 34;             1,5315;         0,60756983909022;        -0,00324193824036
                 35;             1,5441;         0,60456869328992;        -0,00300114580030
                 36;             1,5563;         0,60178650559716;        -0,00278218769276
                 37;             1,5682;         0,59920234978780;        -0,00258415580936
                 38;             1,5798;         0,59679653372071;        -0,00240581606709
                 39;             1,5911;         0,59455083659120;        -0,00224569712951
                 40;             1,6021;         0,59244864438514;        -0,00210219220606
                 41;             1,6128;         0,59047499030897;        -0,00197365407617
                 42;             1,6232;         0,58861651822861;        -0,00185847208036
                 43;             1,6335;         0,58686139114774;        -0,00175512708087
                 44;             1,6435;         0,58519916584238;        -0,00166222530536
                 45;             1,6532;         0,58362065122122;        -0,00157851462116
                 46;             1,6628;         0,58211776352497;        -0,00150288769625
                 47;             1,6721;         0,58068338719695;        -0,00143437632802
                 48;             1,6812;         0,57931124669090;        -0,00137214050605
                 49;             1,6902;         0,57799579179591;        -0,00131545489499
                 50;             1,6990;         0,57673209720538;        -0,00126369459053
                 51;             1,7076;         0,57551577588418;        -0,00121632132120
                 52;             1,7160;         0,57434290512790;        -0,00117287075628
                 53;             1,7243;         0,57320996389871;        -0,00113294122919
                 54;             1,7324;         0,57211377994197;        -0,00109618395674
                 55;             1,7404;         0,57105148524099;        -0,00106229470098
                 56;             1,7482;         0,57002047849209;        -0,00103100674890
                 57;             1,7559;         0,56901839343739;        -0,00100208505470
                 58;             1,7634;         0,56804307205314;        -0,00097532138425
                 59;             1,7709;         0,56709254174365;        -0,00095053030949
                 60;             1,7782;         0,56616499582869;        -0,00092754591496
                 61;             1,7853;         0,56525877673185;        -0,00090621909684
                 62;             1,7924;         0,56437236138012;        -0,00088641535173
                 63;             1,7993;         0,56350434841187;        -0,00086801296825
                 64;             1,8062;         0,56265344686223;        -0,00085090154964
                 65;             1,8129;         0,56181846605548;        -0,00083498080675
                 66;             1,8195;         0,56099830648359;        -0,00082015957189
                 67;             1,8261;         0,56019195149158;        -0,00080635499201
                 68;             1,8325;         0,55939845962524;        -0,00079349186634
                 69;             1,8388;         0,55861695752573;        -0,00078150209951
                 70;             1,8451;         0,55784663328104;        -0,00077032424469
                 71;             1,8513;         0,55708673016673;        -0,00075990311431
                 72;             1,8573;         0,55633654072789;        -0,00075018943884
                 73;             1,8633;         0,55559540117359;        -0,00074113955430
                 74;             1,8692;         0,55486268607213;        -0,00073271510146
                 75;             1,8751;         0,55413780335215;        -0,00072488271998
                 76;             1,8808;         0,55342018963070;        -0,00071761372145
                 77;             1,8865;         0,55270930590345;        -0,00071088372725
                 78;             1,8921;         0,55200463364492;        -0,00070467225853
                 79;             1,8976;         0,55130567137657;        -0,00069896226835
                 80;             1,9031;         0,55061193176630;        -0,00069373961027
                 81;             1,9085;         0,54992293932467;        -0,00068899244163
                 82;             1,9138;         0,54923822875811;        -0,00068471056656
                 83;             1,9191;         0,54855734402909;        -0,00068088472902
                 84;             1,9243;         0,54787983815509;        -0,00067750587400
                 85;             1,9294;         0,54720527375437;        -0,00067456440072
                 86;             1,9345;         0,54653322431741;        -0,00067204943696
                 87;             1,9395;         0,54586327614937;        -0,00066994816804
                 88;             1,9445;         0,54519503089541;        -0,00066824525396
                 89;             1,9494;         0,54452810852740;        -0,00066692236801
                 90;             1,9542;         0,54386215064291;        -0,00066595788449
                 91;             1,9590;         0,54319682390641;        -0,00066532673650
                 92;             1,9638;         0,54253182345142;        -0,00066500045499
                 93;             1,9685;         0,54186687606198;        -0,00066494738944
                 94;             1,9731;         0,54120174296320;        -0,00066513309878
                 95;             1,9777;         0,54053622207210;        -0,00066552089110
                 96;             1,9823;         0,53987014959054;        -0,00066607248156
                 97;             1,9868;         0,53920340085916;        -0,00066674873138
                 98;             1,9912;         0,53853589043170;        -0,00066751042746
                 99;             1,9956;         0,53786757136918;        -0,00066831906252
                100;             2,0000;         0,53719843379202;        -0,00066913757716
                101;             2,0043;         0,53652850276033;        -0,00066993103169
                102;             2,0086;         0,53585783557913;        -0,00067066718120
                103;             2,0128;         0,53518651864283;        -0,00067131693630
                104;             2,0170;         0,53451466394348;        -0,00067185469935
